Id,CityName,StateName
391,Seymour,Indiana
392,Shelbyville,Indiana
393,Terre Haute,Indiana
394,Vincennes,Indiana
395,Derby,Kansas
396,Emporia,Kansas
397,Gardner,Kansas
398,Great Bend,Kansas
399,Hays,Kansas
400,Hutchinson,Kansas
401,Junction City,Kansas
402,Kansas City,Kansas
403,Lawrence,Kansas
404,Leavenworth,Kansas
405,Leawood,Kansas
406,Lenexa,Kansas
407,Manhattan,Kansas
408,Newton,Kansas
409,Olathe,Kansas
410,Overland Park,Kansas
411,Pittsburg,Kansas
412,Prairie Village,Kansas
413,Salina,Kansas
414,Shawnee,Kansas
415,Topeka,Kansas
416,Wichita,Kansas
417,Ashland,Kentucky
418,Bowling Green,Kentucky
419,Burlington,Kentucky
420,Covington,Kentucky
421,Danville,Kentucky
422,Elizabethtown,Kentucky
423,Erlanger,Kentucky
424,Fern Creek,Kentucky
425,Florence,Kentucky
426,Fort Thomas,Kentucky
427,Frankfort,Kentucky
428,Georgetown,Kentucky
429,Henderson,Kentucky
430,Highview,Kentucky
431,Hopkinsville,Kentucky
432,Independence,Kentucky
433,Ironville,Kentucky
434,Jeffersontown,Kentucky
435,Lexington,Kentucky
436,Lexington-Fayette,Kentucky
437,Louisville,Kentucky
438,Madisonville,Kentucky
439,Meads,Kentucky
440,Murray,Kentucky
441,Newburg,Kentucky
442,Newport,Kentucky
443,Nicholasville,Kentucky
444,Okolona,Kentucky
445,Owensboro,Kentucky
446,Pleasure Ridge Park,Kentucky
447,Radcliff,Kentucky
448,Richmond,Kentucky
449,Saint Matthews,Kentucky
450,Shively,Kentucky
451,Valley Station,Kentucky
452,Winchester,Kentucky
453,Alexandria,Louisiana
454,Baton Rouge,Louisiana
455,Bayou Cane,Louisiana
456,Bossier City,Louisiana
457,Central,Louisiana
458,Chalmette,Louisiana
459,Estelle,Louisiana
460,Gretna,Louisiana
461,Hammond,Louisiana
462,Harvey,Louisiana
463,Houma,Louisiana
464,Kenner,Louisiana
465,Lafayette,Louisiana
466,Lake Charles,Louisiana
467,Laplace,Louisiana
468,Marrero,Louisiana
469,Metairie,Louisiana
470,Metairie Terrace,Louisiana
471,Monroe,Louisiana
472,Natchitoches,Louisiana
473,New Iberia,Louisiana
474,New Orleans,Louisiana
475,Opelousas,Louisiana
476,Prairieville,Louisiana
477,Ruston,Louisiana
478,Shenandoah,Louisiana
479,Shreveport,Louisiana
480,Slidell,Louisiana
481,Sulphur,Louisiana
482,Terrytown,Louisiana
483,Adelphi,Maryland
484,Annapolis,Maryland
485,Arbutus,Maryland
486,Arnold,Maryland
487,Aspen Hill,Maryland
488,Baltimore,Maryland
489,Ballenger Creek,Maryland
490,Beltsville,Maryland
491,Bethesda,Maryland
492,Bowie,Maryland
493,Calverton,Maryland
494,Camp Springs,Maryland
495,Carney,Maryland
496,Catonsville,Maryland
497,Chillum,Maryland
498,Cloverly,Maryland
499,Clinton,Maryland
500,Cockeysville,Maryland
501,College Park,Maryland
502,Columbia,Maryland
503,Crofton,Maryland
504,Cumberland,Maryland
505,Damascus,Maryland
506,Dundalk,Maryland
507,East Riverdale,Maryland
508,Easton,Maryland
509,Edgewood,Maryland
510,Eldersburg,Maryland
511,Elkton,Maryland
512,Elkridge,Maryland
513,Ellicott City,Maryland
514,Essex,Maryland
515,Fairland,Maryland
516,Ferndale,Maryland
517,Fort Washington,Maryland
518,Frederick,Maryland
519,Gaithersburg,Maryland
520,Germantown,Maryland
521,Glassmanor,Maryland
522,Glen Burnie,Maryland
523,Green Haven,Maryland
524,Greenbelt,Maryland
525,Hagerstown,Maryland
526,Hanover,Maryland
527,Hillcrest Heights,Maryland
528,Hunt Valley,Maryland
529,Hyattsville,Maryland
530,Ilchester,Maryland
531,Lake Shore,Maryland
532,Landover,Maryland
533,Langley Park,Maryland
534,Laurel,Maryland
535,Lochearn,Maryland
536,Maryland City,Maryland
537,Middle River,Maryland
538,Milford Mill,Maryland
539,Montgomery Village,Maryland
540,North Bel Air,Maryland
541,North Bethesda,Maryland
542,North Potomac,Maryland
543,Odenton,Maryland
544,Olney,Maryland
545,Owings Mills,Maryland
546,Oxon Hill,Maryland
547,Parkville,Maryland
548,Parole,Maryland
549,Pasadena,Maryland
550,Perry Hall,Maryland
551,Pikesville,Maryland
552,Potomac,Maryland
553,Randallstown,Maryland
554,Redland,Maryland
555,Reisterstown,Maryland
556,Rockville,Maryland
557,Rosedale,Maryland
558,Rossville,Maryland
559,Saint Charles,Maryland
560,Salisbury,Maryland
561,Seabrook,Maryland
562,Severn,Maryland
563,Severna Park,Maryland
564,Silver Spring,Maryland
565,South Bel Air,Maryland
566,South Gate,Maryland
567,South Laurel,Maryland
568,Suitland,Maryland
569,Takoma Park,Maryland
570,Towson,Maryland
571,Waldorf,Maryland
572,West Elkridge,Maryland
573,Westminster,Maryland
574,Wheaton,Maryland
575,White Oak,Maryland
576,Woodlawn,Maryland
577,Affton,Missouri
578,Arnold,Missouri
579,Ballwin,Missouri
580,Belton,Missouri
581,Blue Springs,Missouri
582,Cape Girardeau,Missouri
583,Chesterfield,Missouri
584,Clayton,Missouri
585,Columbia,Missouri
586,Concord,Missouri
587,Creve Coeur,Missouri
588,East Independence,Missouri
589,Farmington,Missouri
590,Ferguson,Missouri
591,Florissant,Missouri
592,Gladstone,Missouri
593,Grandview,Missouri
594,Hannibal,Missouri
595,Hazelwood,Missouri
596,Independence,Missouri
597,Jefferson City,Missouri
598,Joplin,Missouri
599,Kansas City,Missouri
600,Kirkwood,Missouri
601,Lee's Summit,Missouri
602,Lemay,Missouri
603,Liberty,Missouri
604,Manchester,Missouri
605,Maryland Heights,Missouri
606,Mehlville,Missouri
607,Nixa,Missouri
608,O'Fallon,Missouri
609,Oakville,Missouri
610,Overland,Missouri
611,Ozark,Missouri
612,Poplar Bluff,Missouri
613,Raymore,Missouri
614,Raytown,Missouri
615,Rolla,Missouri
616,Saint Charles,Missouri
617,Saint Joseph,Missouri
618,St. Louis,Missouri
619,Saint Peters,Missouri
620,Sedalia,Missouri
621,Sikeston,Missouri
622,Spanish Lake,Missouri
623,Springfield,Missouri
624,University City,Missouri
625,Warrensburg,Missouri
626,Webster Groves,Missouri
627,Wentzville,Missouri
628,Wildwood,Missouri
629,Biloxi,Mississippi
630,Brandon,Mississippi
631,Clarksdale,Mississippi
632,Clinton,Mississippi
633,Columbus,Mississippi
634,Gautier,Mississippi
635,Greenville,Mississippi
636,Greenwood,Mississippi
637,Gulfport,Mississippi
638,Hattiesburg,Mississippi
639,Horn Lake,Mississippi
640,Jackson,Mississippi
641,Laurel,Mississippi
642,Madison,Mississippi
643,Meridian,Mississippi
644,Natchez,Mississippi
645,Ocean Springs,Mississippi
646,Olive Branch,Mississippi
647,Oxford,Mississippi
648,Pascagoula,Mississippi
649,Pearl,Mississippi
650,Ridgeland,Mississippi
651,Southaven,Mississippi
652,Starkville,Mississippi
653,Tupelo,Mississippi
654,Vicksburg,Mississippi
655,West Gulfport,Mississippi
656,Albemarle,7North Carolina
657,Apex,North Carolina
658,Asheboro,North Carolina
659,Asheville,North Carolina
660,Boone,North Carolina
661,Burlington,North Carolina
662,Carrboro,North Carolina
663,Cary,North Carolina
664,Chapel Hill,North Carolina
665,Charlotte,North Carolina
666,Clayton,North Carolina
667,Clemmons,North Carolina
668,Concord,North Carolina
669,Cornelius,North Carolina
670,Durham,North Carolina
671,Eden,North Carolina
672,Elizabeth City,North Carolina
673,Fayetteville,North Carolina
674,Fuquay-Varina,North Carolina
675,Garner,North Carolina
676,Gastonia,North Carolina
677,Goldsboro,North Carolina
678,Greensboro,North Carolina
679,Greenville,North Carolina
680,Havelock,North Carolina
681,Henderson,North Carolina
682,Hickory,North Carolina
683,High Point,North Carolina
684,Holly Springs,North Carolina
685,Hope Mills,North Carolina
686,Huntersville,North Carolina
687,Indian Trail,North Carolina
688,Jacksonville,North Carolina
689,Kannapolis,North Carolina
690,Kernersville,North Carolina
691,Kinston,North Carolina
692,Laurinburg,North Carolina
693,Lenoir,North Carolina
694,Lexington,North Carolina
695,Lumberton,North Carolina
696,Matthews,North Carolina
697,Mint Hill,North Carolina
698,Monroe,North Carolina
699,Mooresville,North Carolina
700,Morganton,North Carolina
701,Morrisville,North Carolina
702,New Bern,North Carolina
703,Raleigh,North Carolina
704,Roanoke Rapids,North Carolina
705,Rocky Mount,North Carolina
706,Salisbury,North Carolina
707,Sanford,North Carolina
708,Shelby,North Carolina
709,Statesville,North Carolina
710,Thomasville,North Carolina
711,Wake Forest,North Carolina
712,West Raleigh,North Carolina
713,Wilmington,North Carolina
714,Wilson,North Carolina
715,Winston-Salem,North Carolina
716,Atlantic City,New Jersey
717,Bridgeton,New Jersey
718,Camden,New Jersey
719,Cherry Hill,New Jersey
720,Glassboro,New Jersey
721,Jackson,New Jersey
722,Lindenwold,New Jersey
723,Maple Shade,New Jersey
724,Millville,New Jersey
725,Mount Laurel,New Jersey
726,Ocean Acres,New Jersey
727,Pennsauken,New Jersey
728,Pleasantville,New Jersey
729,Sicklerville,New Jersey
730,South Vineland,New Jersey
731,Toms River,New Jersey
732,Vineland,New Jersey
733,Williamstown,New Jersey
734,Athens,Ohio
735,Beavercreek,Ohio
736,Centerville,Ohio
737,Cincinnati,Ohio
738,Columbus,Ohio
739,Dayton,Ohio
740,Fairborn,Ohio
741,Fairfield,Ohio
742,Forest Park,Ohio
743,Grove City,Ohio
744,Hamilton,Ohio
745,Huber Heights,Ohio
746,Kettering,Ohio
747,Lancaster,Ohio
748,Lebanon,Ohio
749,Mason,Ohio
750,Miamisburg,Ohio
751,Middletown,Ohio
752,Norwood,Ohio
753,Oxford,Ohio
754,Pickerington,Ohio
755,Portsmouth,Ohio
756,Reynoldsburg,Ohio
757,Riverside,Ohio
758,Springboro,Ohio
759,Springfield,Ohio
760,Trotwood,Ohio
761,Upper Arlington,Ohio
762,Vandalia,Ohio
763,White Oak,Ohio
764,Whitehall,Ohio
765,Xenia,Ohio
766,Zanesville,Ohio
767,Ada,Oklahoma
768,Altus,Oklahoma
769,Ardmore,Oklahoma
770,Bartlesville,Oklahoma
771,Bethany,Oklahoma
772,Bixby,Oklahoma
773,Broken Arrow,Oklahoma
774,Chickasha,Oklahoma
775,Claremore,Oklahoma
776,Del City,Oklahoma
777,Duncan,Oklahoma
778,Durant,Oklahoma
779,Edmond,Oklahoma
780,El Reno,Oklahoma
781,Enid,Oklahoma
782,Jenks,Oklahoma
783,Lawton,Oklahoma
784,McAlester,Oklahoma
785,Midwest City,Oklahoma
786,Moore,Oklahoma
787,Muskogee,Oklahoma
788,Mustang,Oklahoma
789,Norman,Oklahoma
790,Oklahoma City,Oklahoma
791,Owasso,Oklahoma
792,Ponca City,Oklahoma
793,Sand Springs,Oklahoma
794,Sapulpa,Oklahoma
795,Shawnee,Oklahoma
796,Stillwater,Oklahoma
797,Tahlequah,Oklahoma
798,Tulsa,Oklahoma
799,Yukon,Oklahoma
800,Chambersburg,Pennsylvania
801,Chester,Pennsylvania
802,Drexel Hill,Pennsylvania
803,Hanover,Pennsylvania
804,Philadelphia,Pennsylvania
805,Springfield,Pennsylvania
806,West Chester,Pennsylvania
807,York,Pennsylvania
808,Aiken,South Carolina
809,Anderson,South Carolina
810,Charleston,South Carolina
811,Columbia,South Carolina
812,Conway,South Carolina
813,Easley,South Carolina
814,Florence,South Carolina
815,Goose Creek,South Carolina
816,Greenville,South Carolina
817,Greenwood,South Carolina
818,Greer,South Carolina
819,Hanahan,South Carolina
820,Hilton Head Island,South Carolina
821,Lexington,South Carolina
822,Mauldin,South Carolina
823,Mount Pleasant,South Carolina
824,Myrtle Beach,South Carolina
825,North Augusta,South Carolina
826,North Charleston,South Carolina
827,Rock Hill,South Carolina
828,Saint Andrews,South Carolina
829,Seven Oaks,South Carolina
830,Simpsonville,South Carolina
831,Socastee,South Carolina
832,Spartanburg,South Carolina
833,Summerville,South Carolina
834,Sumter,South Carolina
835,Taylors,South Carolina
836,Wade Hampton,South Carolina
837,Bartlett,Tennessee
838,Brentwood,Tennessee
839,Brentwood Estates,Tennessee
840,Bristol,Tennessee
841,Chattanooga,Tennessee
842,Clarksville,Tennessee
843,Cleveland,Tennessee
844,Collierville,Tennessee
845,Columbia,Tennessee
846,Cookeville,Tennessee
847,Dyersburg,Tennessee
848,East Brainerd,Tennessee
849,East Chattanooga,Tennessee
850,East Ridge,Tennessee
851,Farragut,Tennessee
852,Franklin,Tennessee
853,Gallatin,Tennessee
854,Germantown,Tennessee
855,Goodlettsville,Tennessee
856,Greeneville,Tennessee
857,Hendersonville,Tennessee
858,Jackson,Tennessee
859,Johnson City,Tennessee
860,Kingsport,Tennessee
861,Knoxville,Tennessee
862,La Vergne,Tennessee
863,Lebanon,Tennessee
864,Maryville,Tennessee
865,Memphis,Tennessee
866,Morristown,Tennessee
867,Mount Juliet,Tennessee
868,Murfreesboro,Tennessee
869,Nashville,Tennessee
870,New South Memphis,Tennessee
871,Oak Ridge,Tennessee
872,Shelbyville,Tennessee
873,Smyrna,Tennessee
874,Spring Hill,Tennessee
875,Springfield,Tennessee
876,Tullahoma,Tennessee
877,Abilene,Texas
878,Alamo,Texas
879,Aldine,Texas
880,Alice,Texas
881,Allen,Texas
882,Alvin,Texas
883,Angleton,Texas
884,Arlington,Texas
885,Atascocita,Texas
886,Austin,Texas
887,Balch Springs,Texas
888,Baytown,Texas
889,Beaumont,Texas
890,Bedford,Texas
891,Bellaire,Texas
892,Belton,Texas
893,Benbrook,Texas
894,Brenham,Texas
895,Brownsville,Texas
896,Brownwood,Texas
897,Brushy Creek,Texas
898,Bryan,Texas
899,Burleson,Texas
900,Canyon Lake,Texas
901,Carrollton,Texas
902,Cedar Hill,Texas
903,Cedar Park,Texas
904,Channelview,Texas
905,Cibolo,Texas
906,Cinco Ranch,Texas
907,Cleburne,Texas
908,Cloverleaf,Texas
909,College Station,Texas
910,Colleyville,Texas
911,Conroe,Texas
912,Converse,Texas
913,Coppell,Texas
914,Copperas Cove,Texas
915,Corinth,Texas
916,Corpus Christi,Texas
917,Corsicana,Texas
918,Cypress,Texas
919,Dallas,Texas
920,DeSoto,Texas
921,Deer Park,Texas
922,Denison,Texas
923,Denton,Texas
924,Dickinson,Texas
925,Donna,Texas
926,Duncanville,Texas
927,Edinburg,Texas
928,Ennis,Texas
929,Euless,Texas
930,Farmers Branch,Texas
931,Flower Mound,Texas
932,Fort Worth,Texas
933,Fresno,Texas
934,Friendswood,Texas
935,Frisco,Texas
936,Gainesville,Texas
937,Galveston,Texas
938,Garland,Texas
939,Gatesville,Texas
940,Georgetown,Texas
941,Grand Prairie,Texas
942,Grapevine,Texas
943,Greenville,Texas
944,Groves,Texas
945,Haltom City,Texas
946,Harker Heights,Texas
947,Harlingen,Texas
948,Highland Village,Texas
949,Houston,Texas
950,Humble,Texas
951,Huntsville,Texas
952,Hurst,Texas
953,Irving,Connecticut
954,West Hartford,Connecticut
955,West Haven,Connecticut
956,West Torrington,Connecticut
957,Westport,Connecticut
958,Wethersfield,Connecticut
959,Willimantic,Connecticut
960,Wilton,Connecticut
961,Windham,Connecticut
962,Windsor,Connecticut
963,Wolcott,Connecticut
964,Ames,Iowa
965,Ankeny,Iowa
966,Bettendorf,Iowa
967,Burlington,Iowa
968,Cedar Falls,Iowa
969,Cedar Rapids,Iowa
970,Clinton,Iowa
971,Clive,Iowa
972,Coralville,Iowa
973,Council Bluffs,Iowa
974,Davenport,Iowa
975,Des Moines,Iowa
976,Dubuque,Iowa
977,Fort Dodge,Iowa
978,Iowa City,Iowa
979,Johnston,Iowa
980,Marion,Iowa
981,Marshalltown,Iowa
982,Mason City,Iowa
983,Muscatine,Iowa
984,Newton,Iowa
985,Ottumwa,Iowa
986,Sioux City,Iowa
987,Urbandale,Iowa
988,Waterloo,Iowa
989,West Des Moines,Iowa
990,Addison,Illinois
991,Algonquin,Illinois
992,Alsip,Illinois
993,Arlington Heights,Illinois
994,Aurora,Illinois
995,Bartlett,Illinois
996,Batavia,Illinois
997,Bellwood,Illinois
998,Belvidere,Illinois
999,Bensenville,Illinois
1000,Berwyn,Illinois
1001,Bloomingdale,Illinois
1002,Bloomington,Illinois
1003,Blue Island,Illinois
1004,Bolingbrook,Illinois
1005,Bourbonnais,Illinois
1006,Bradley,Illinois
1007,Bridgeview,Illinois
1008,Brookfield,Illinois
1009,Buffalo Grove,Illinois
1010,Burbank,Illinois
1011,Calumet City,Illinois
1012,Carol Stream,Illinois
1013,Carpentersville,Illinois
1014,Cary,Illinois
1015,Champaign,Illinois
1016,Chicago,Illinois
1017,Chicago Heights,Illinois
1018,Cicero,Illinois
1019,Country Club Hills,Illinois
1020,Crest Hill,Illinois
1021,Crystal Lake,Illinois
1022,Danville,Illinois
1023,Darien,Illinois
1024,DeKalb,Illinois
1025,Deerfield,Illinois
1026,Des Plaines,Illinois
1027,Dixon,Illinois
1028,Dolton,Illinois
1029,Downers Grove,Illinois
1030,East Moline,Illinois
1031,East Peoria,Illinois
1032,Elgin,Illinois
1033,Elk Grove Village,Illinois
1034,Elmhurst,Illinois
1035,Elmwood Park,Illinois
1036,Evanston,Illinois
1037,Evergreen Park,Illinois
1038,Frankfort,Illinois
1039,Franklin Park,Illinois
1040,Freeport,Illinois
1041,Galesburg,Illinois
1042,Geneva,Illinois
1043,Glen Ellyn,Illinois
1044,Glenview,Illinois
1045,Goodings Grove,Illinois
1046,Grayslake,Illinois
1047,Gurnee,Illinois
1048,Hanover Park,Illinois
1049,Harvey,Illinois
1050,Highland Park,Illinois
1051,Hinsdale,Illinois
1052,Hoffman Estates,Illinois
1053,Homer Glen,Illinois
1054,Homewood,Illinois
1055,Huntley,Illinois
1056,Joliet,Illinois
1057,Kankakee,Illinois
1058,La Grange,Illinois
1059,Lake Forest,Illinois
1060,Lake Zurich,Illinois
